C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90,C0/cloudCoveragePercent
2025-07-16T00:00:00.000Z,-1,1,0.08438580364446283,0.2557138415512698,19912,4366,0.04116835445165634,-0.19115161895751953,0.42501354217529297,74.27634118101108
2025-07-18T00:00:00.000Z,-0.9420946836471558,1,0.12646682190825648,0.2535023581295346,19912,4366,0.028435373678803444,-0.08280184864997864,0.5039831399917603,70.04374115528051
2025-07-21T00:00:00.000Z,-0.9764758944511414,1,0.12776142471698396,0.2758360740308036,19912,4366,0.09218282997608185,-0.17257682979106903,0.49558156728744507,61.13469702817474
2025-07-26T00:00:00.000Z,-1,1,0.3293211108184674,0.28498386875886333,19912,4366,0.3151116967201233,-0.036828916519880295,0.7309629917144775,28.952785282387683
2025-07-28T00:00:00.000Z,-0.9070523381233215,1,0.1604306543304576,0.253639817149522,19912,4366,0.08422376215457916,-0.08494190126657486,0.5493722558021545,60.131223465843284
2025-07-31T00:00:00.000Z,-1,1,0.2813025892543515,0.28617852846584646,19912,4366,0.28798961639404297,-0.06528349220752716,0.6680850982666016,30.129936961276236
2025-08-05T00:00:00.000Z,-0.8043324947357178,1,0.09607147516396146,0.21838769120740045,19912,4366,0.07257764786481857,-0.12955370545387268,0.3659367263317108,67.07834812813584
2025-08-07T00:00:00.000Z,-0.8378261923789978,1,0.13242138215720203,0.22867406623941672,19912,4366,0.11616438627243042,-0.11406782269477844,0.4243866801261902,64.24160555769961
2025-08-10T00:00:00.000Z,-1,1,0.2400399208430604,0.23311217743684273,19912,4366,0.2372596561908722,-0.036509040743112564,0.5523518919944763,51.38942493245834
2025-08-15T00:00:00.000Z,-1,1,0.11683560815631933,0.251564435480245,19912,4366,0.07076425105333328,-0.1319124400615692,0.4463247060775757,62.401904026759304
2025-08-17T00:00:00.000Z,-0.8876914381980896,1,0.05961004901968693,0.1597652065226388,19912,4366,0.03175092488527298,-0.09183206409215927,0.2635205090045929,86.24083365495943
2025-08-20T00:00:00.000Z,-0.6016198992729187,1,0.04039829073497978,0.12362462125139013,19912,4366,0.0160970576107502,-0.0674632266163826,0.19205650687217712,92.28097259745309
2025-08-25T00:00:00.000Z,-1,1,0.24592093516473792,0.2809584788762877,19912,4366,0.26906049251556396,-0.11958495527505875,0.5779678225517273,33.10176251125682
2025-08-27T00:00:00.000Z,-1,1,0.2383771519295963,0.284390694019835,19912,4366,0.2582932412624359,-0.11742707341909409,0.5859556198120117,38.99395342853482
2025-08-30T00:00:00.000Z,-0.9770641922950745,1,0.30401674547141455,0.2513095023598115,19912,4366,0.3001631200313568,-0.014561721123754978,0.631001353263855,25.24121960632952
2025-09-04T00:00:00.000Z,-1,1,0.1368898606206016,0.2607783318645157,19912,4366,0.08964945375919342,-0.1395392119884491,0.5051746368408203,59.410780908272166
2025-09-06T00:00:00.000Z,-0.8879611492156982,1,0.3553717335706628,0.23546463322133748,19912,4366,0.3435114622116089,0.11415433883666992,0.6482791304588318,11.22475234787084
2025-09-09T00:00:00.000Z,-1,1,0.14402224739514008,0.26758141168687766,19912,4366,0.12235789746046066,-0.1679466813802719,0.4914127290248871,60.42711951627459
2025-09-14T00:00:00.000Z,-0.9872656464576721,1,0.33218256794011863,0.25598791146029787,19912,4366,0.311968594789505,0.034616127610206604,0.6623131632804871,16.570178824134878
2025-09-14T00:00:00.000Z,-0.9872656464576721,1,0.33218256794011863,0.25598791146029787,19912,4366,0.311968594789505,0.034616127610206604,0.6623131632804871,16.570178824134878
2025-09-16T00:00:00.000Z,-1,1,0.3956658235893602,0.22852832559553898,19912,4366,0.37362271547317505,0.17120154201984406,0.7025418877601624,5.628457481024055
2025-09-19T00:00:00.000Z,-0.9911894202232361,1,0.31736208160074497,0.2745931838745922,19912,4366,0.31646931171417236,-0.026001404970884323,0.6645739674568176,21.14370256014407
2025-09-24T00:00:00.000Z,-1,1,0.32778391807746127,0.25043278955340886,19912,4366,0.3102301061153412,0.024521691724658012,0.6808693408966064,36.48526952270697
2025-09-26T00:00:00.000Z,-1,1,0.26942200677615485,0.23537612460450985,19912,4366,0.2648318111896515,-0.03180530667304993,0.577235758304596,21.99279557442423
2025-09-29T00:00:00.000Z,-0.940397322177887,1,0.3958059837888303,0.2125198623562934,19912,4366,0.3567727506160736,0.17900404334068298,0.7135607600212097,2.849607616107041
2025-10-04T00:00:00.000Z,-0.7251572608947754,1,0.05491259183633962,0.14493614706472463,19912,4366,0.03462190181016922,-0.08373767137527466,0.23748233914375305,87.41155281101236
2025-10-06T00:00:00.000Z,-1,1,0.15742237334942216,0.29527463476945454,19912,4366,0.16874711215496063,-0.22090260684490204,0.5213872790336609,52.30284317509326
2025-10-09T00:00:00.000Z,-1,1,0.24317871219947582,0.3054839437784224,19912,4366,0.2566220462322235,-0.15372255444526672,0.6311601400375366,41.44474462884345
2025-10-14T00:00:00.000Z,-0.9377281665802002,1,0.24482333281264548,0.28245235911533134,19912,4366,0.2563380300998688,-0.12064426392316818,0.5973266363143921,36.50456709121308
