C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90,C0/cloudCoveragePercent,C1/date,C1/min,C1/max,C1/mean,C1/stDev,C1/sampleCount,C1/noDataCount,C1/median,C1/p10,C1/p90,C1/cloudCoveragePercent,C2/date,C2/min,C2/max,C2/mean,C2/stDev,C2/sampleCount,C2/noDataCount,C2/median,C2/p10,C2/p90,C2/cloudCoveragePercent,C3/date,C3/min,C3/max,C3/mean,C3/stDev,C3/sampleCount,C3/noDataCount,C3/median,C3/p10,C3/p90,C3/cloudCoveragePercent
2025-09-26T00:00:00.000Z,0.11996608972549438,0.5982492566108704,0.4023975215073842,0.07828177802810275,294,160,,,,0,2025-09-26T00:00:00.000Z,-0.5424633026123047,-0.22622345387935638,-0.39452251402744604,0.05323223404965584,294,160,,,,0,2025-09-26T00:00:00.000Z,0.22622345387935638,0.5424633026123047,0.39452251402744604,0.05323223404965584,294,160,,,,0,2025-09-26T00:00:00.000Z,-0.1539153903722763,0.21472135186195374,-0.0348976661682254,0.07183580717964197,294,160,,,,0
2025-09-24T00:00:00.000Z,0.14862385392189026,0.8489786386489868,0.5646389814010309,0.13736948351985073,294,160,,,,0,2025-09-24T00:00:00.000Z,-0.792859673500061,-0.16573557257652283,-0.5714528231478448,0.10671205926449842,294,160,,,,0,2025-09-24T00:00:00.000Z,0.16573557257652283,0.792859673500061,0.5714528231478448,0.10671205926449842,294,160,,,,0,2025-09-24T00:00:00.000Z,-0.3132443130016327,0.11804766952991486,-0.06719373204233213,0.08570702856823208,294,160,,,,0
2025-09-19T00:00:00.000Z,0.18975600600242615,0.8407379388809204,0.5847236525211761,0.13239869882393868,294,160,,,,32.83582089552241,2025-09-19T00:00:00.000Z,-0.7194152474403381,-0.1692429631948471,-0.5434039830049473,0.09856783630468294,294,160,,,,32.83582089552241,2025-09-19T00:00:00.000Z,0.1692429631948471,0.7194152474403381,0.5434039830049473,0.09856783630468294,294,160,,,,32.83582089552241,2025-09-19T00:00:00.000Z,-0.36877742409706116,0.11354858428239822,-0.1374362196960946,0.10171113180676558,294,160,,,,32.83582089552241
2025-09-16T00:00:00.000Z,0.19385096430778503,0.8430777192115784,0.5915415169142967,0.14061913483701763,294,160,,,,0,2025-09-16T00:00:00.000Z,-0.7472283840179443,-0.1564866155385971,-0.5897561573048136,0.10065896938952446,294,160,,,,0,2025-09-16T00:00:00.000Z,0.1564866155385971,0.7472283840179443,0.5897561573048136,0.10065896938952446,294,160,,,,0,2025-09-16T00:00:00.000Z,-0.30723291635513306,0.21150729060173035,-0.06278018000076956,0.10752493108656347,294,160,,,,0
2025-09-14T00:00:00.000Z,0.16199304163455963,0.8395748734474182,0.5949245349907165,0.1407958531391648,294,160,,,,0,2025-09-14T00:00:00.000Z,-0.7474208474159241,-0.22501832246780396,-0.5892285984843529,0.09883104490076507,294,160,,,,0,2025-09-14T00:00:00.000Z,0.22501832246780396,0.7474208474159241,0.5892285984843529,0.09883104490076507,294,160,,,,0,2025-09-14T00:00:00.000Z,-0.30891087651252747,0.21015797555446625,-0.05939309416102494,0.10777262061742647,294,160,,,,0
2025-09-09T00:00:00.000Z,0.02123764157295227,0.7264854907989502,0.37394139808672144,0.20893006314359405,294,160,,,,100,2025-09-09T00:00:00.000Z,-0.5964457392692566,-0.015492341481149197,-0.30582297570419625,0.15973897218406402,294,160,,,,100,2025-09-09T00:00:00.000Z,0.015492341481149197,0.5964457392692566,0.30582297570419625,0.15973897218406402,294,160,,,,100,2025-09-09T00:00:00.000Z,-0.4708520174026489,0.026971561834216118,-0.18295957150160147,0.11954291574844923,294,160,,,,100
2025-09-06T00:00:00.000Z,0.1663326621055603,0.8379327654838562,0.5877818378494746,0.13174924430779744,294,160,,,,0,2025-09-06T00:00:00.000Z,-0.7320724725723267,-0.17309145629405975,-0.5825284194590437,0.09341145152108707,294,160,,,,0,2025-09-06T00:00:00.000Z,0.17309145629405975,0.7320724725723267,0.5825284194590437,0.09341145152108707,294,160,,,,0,2025-09-06T00:00:00.000Z,-0.30839264392852783,0.20620028674602509,-0.05991193978810933,0.10414108503941755,294,160,,,,0
2025-09-04T00:00:00.000Z,-0.05826032906770706,-0.03106202557682991,-0.04231148688539642,0.005691564652559035,294,160,,,,100,2025-09-04T00:00:00.000Z,0.06418870389461517,0.0808335691690445,0.07269622541185636,0.0037759018059643876,294,160,,,,100,2025-09-04T00:00:00.000Z,-0.0808335691690445,-0.06418870389461517,-0.07269622541185636,0.0037759018059643876,294,160,,,,100,2025-09-04T00:00:00.000Z,-0.13394847512245178,-0.10610315203666687,-0.12369660493820465,0.006501681391193658,294,160,,,,100
2025-08-30T00:00:00.000Z,0.032906901091337204,0.07441160082817078,0.05380744584349555,0.008731383930639658,294,160,,,,100,2025-08-30T00:00:00.000Z,-0.06437768042087555,-0.03322986885905266,-0.04950914039874255,0.005912126773715815,294,160,,,,100,2025-08-30T00:00:00.000Z,0.03322986885905266,0.06437768042087555,0.04950914039874255,0.005912126773715815,294,160,,,,100,2025-08-30T00:00:00.000Z,-0.05890144780278206,0.011065812781453133,-0.019804348457828788,0.01582192557174824,294,160,,,,100
2025-08-27T00:00:00.000Z,0.08433971554040909,0.7512390613555908,0.28651100274787006,0.18809384521017436,294,160,,,,100,2025-08-27T00:00:00.000Z,-0.6956124305725098,-0.0722702294588089,-0.26739562730958194,0.17649086245582224,294,160,,,,100,2025-08-27T00:00:00.000Z,0.0722702294588089,0.6956124305725098,0.26739562730958194,0.17649086245582224,294,160,,,,100,2025-08-27T00:00:00.000Z,-0.31318092346191406,0.07362624257802963,-0.05306888949873151,0.06526936320168539,294,160,,,,100
